
COUNTRY,CITY,SALES,DATE
United States,Undefined,7400,2022-01-23 10:33
United States,New York City,2088,2022-01-23 10:33
United States,Washington,5940,2022-05-18 02:33
China,Shanghai,13394,2022-05-18 02:33
United States,San Francisco,2262,2022-06-23 05:15
Brazil,Brasilia,4554,2022-04-07 9:30
Germany,Munich,1182,2022-05-18 02:33
South Korea,Incheon,21090,2022-05-18 02:33
India,Kolkata,20664,2022-05-18 02:33
Germany,Munich,14160,2022-06-23 05:15
India,Delhi,2118,2022-04-07 9:30
United States,San Francisco,1445,2022-01-23 10:33
United States,Washington,4525,2022-06-23 05:15
Germany,Frankfurt am Main,4365,2022-05-18 02:33
Italy,Rome,62517,2022-01-23 10:33
France,Paris,3827,2022-04-07 9:30
China,Tianjin,1920,2022-04-07 9:30
Italy,Naples,44044,2022-04-07 9:30
India,Chennai,76302,2022-06-23 05:15
France,Nice,45764,2022-06-23 05:15
Germany,Koeln,21411,2022-04-07 9:30
Italy,Turin,54984,2022-01-23 10:33
India,Delhi,40824,2022-04-07 9:30
Japan,Kyoto,5190,2022-05-18 02:33
Italy,Milan,6640,2022-06-23 05:15
China,Beijing,811,2022-05-18 02:33
Mexico,Ecatepec de Morelos,11142,2022-01-23 10:33
Italy,Turin,1220,2022-01-23 10:33
Mexico,Iztapalapa,17150,2022-05-18 02:33
Brazil,Belo Horizonte,22700,2022-01-23 10:33
Germany,Hamburg,17976,2022-01-23 10:33
Mexico,Mexico City,40550,2022-06-23 05:15
China,Guangzhou,1102,2022-01-23 10:33
Japan,Osaka,10780,2022-01-23 10:33
China,Tianjin,86450,2022-05-18 02:33
United States,San Francisco,60306,2022-01-23 10:33
Mexico,Puebla,3894,2022-04-07 9:30
France,Nantes,61566,2022-01-23 10:33
Italy,Turin,21775,2022-06-23 05:15
India,Bengaluru,38505,2022-05-18 02:33
United States,Chicago,6888,2022-06-23 05:15
France,Toulouse,3428,2022-04-07 9:30
Japan,Kyoto,16002,2022-04-07 9:30
France,Nice,5735,2022-05-18 02:33
United States,New York City,7668,2022-04-07 9:30
France,Nice,11986,2022-01-23 10:33
Brazil,Brasilia,8932,2022-05-18 02:33
France,Nantes,37926,2022-04-07 9:30
United States,Los Angeles,30317,2022-04-07 9:30
United States,Houston,6600,2022-05-18 02:33
Italy,Rome,16055,2022-05-18 02:33
India,Chennai,4060,2022-01-23 10:33
United States,San Jose,1647,2022-05-18 02:33
South Korea,Seoul,33026,2022-06-23 05:15
Germany,Frankfurt am Main,30955,2022-04-07 9:30
Japan,Tokyo,13448,2022-06-23 05:15
India,Delhi,26400,2022-04-07 9:30
India,Mumbai,31996,2022-04-07 9:30
Brazil,Fortaleza,52896,2022-04-07 9:30
South Korea,Incheon,20450,2022-01-23 10:33
China,Tianjin,14520,2022-04-07 9:30
India,Delhi,5332,2022-04-07 9:30
Japan,Kyoto,21456,2022-01-23 10:33
United States,New York City,18648,2022-04-07 9:30
Mexico,Ecatepec de Morelos,21185,2022-04-07 9:30
United States,Washington,23140,2022-04-07 9:30
Brazil,Belo Horizonte,7429,2022-01-23 10:33
India,Delhi,5200,2022-06-23 05:15
Brazil,Brasilia,21114,2022-04-07 9:30
Germany,Frankfurt am Main,6816,2022-04-07 9:30
Germany,Hamburg,42300,2022-05-18 02:33
China,Beijing,27400,2022-06-23 05:15
South Korea,Daegu,30438,2022-04-07 9:30
Germany,Berlin,28483,2022-06-23 05:15
Mexico,Mexico City,66202,2022-01-23 10:33
United States,Los Angeles,7956,2022-06-23 05:15
France,Nantes,9900,2022-05-18 02:33
India,Bengaluru,58276,2022-04-07 9:30
France,Lyon,25461,2022-06-23 05:15
Italy,Naples,14539,2022-06-23 05:15
Japan,Sapporo,8575,2022-01-23 10:33
France,Lyon,13734,2022-04-07 9:30
Japan,Osaka,32136,2022-04-07 9:30
United States,Los Angeles,84194,2022-04-07 9:30
France,Nice,11655,2022-05-18 02:33
United States,Philadelphia,25456,2022-05-18 02:33
Japan,Tokyo,27257,2022-01-23 10:33
South Korea,Seoul,22515,2022-06-23 05:15
Brazil,Belo Horizonte,61992,2022-04-07 9:30
South Korea,Daegu,936,2022-04-07 9:30
South Korea,Incheon,28842,2022-06-23 05:15
United States,New York City,16962,2022-01-23 10:33
United States,Undefined,13958,2022-05-18 02:33
China,Beijing,3588,2022-05-18 02:33
Mexico,Mexico City,8360,2022-05-18 02:33
United States,Philadelphia,308,2022-01-23 10:33
France,Paris,47382,2022-01-23 10:33
France,Nantes,260,2022-06-23 05:15
South Korea,Busan,52745,2022-06-23 05:15
United States,New York City,39054,2022-06-23 05:15
Mexico,Iztapalapa,7413,2022-05-18 02:33
United States,Philadelphia,60640,2022-01-23 10:33
Italy,Rome,7359,2022-04-07 9:30
Germany,Hamburg,7120,2022-04-07 9:30
France,Nice,11488,2022-05-18 02:33
United States,Los Angeles,45120,2022-05-18 02:33
Germany,Hamburg,8460,2022-05-18 02:33
United States,Philadelphia,384,2022-01-23 10:33
South Korea,Daegu,7663,2022-05-18 02:33
Germany,Koeln,19890,2022-05-18 02:33
China,Tianjin,36608,2022-01-23 10:33
United States,Philadelphia,14475,2022-05-18 02:33
United States,Philadelphia,2625,2022-04-07 9:30
Mexico,Ecatepec de Morelos,8710,2022-06-23 05:15
United States,Washington,16909,2022-05-18 02:33
Italy,Turin,66870,2022-05-18 02:33
United States,San Jose,2400,2022-01-23 10:33
China,Tianjin,43248,2022-06-23 05:15
France,Toulouse,4779,2022-04-07 9:30
Japan,Osaka,33669,2022-06-23 05:15
Japan,Sapporo,992,2022-04-07 9:30
South Korea,Seoul,13386,2022-01-23 10:33
Japan,Tokyo,25200,2022-05-18 02:33
Germany,Hamburg,2416,2022-04-07 9:30
India,Delhi,23296,2022-04-07 9:30
Italy,Rome,70600,2022-06-23 05:15
China,Beijing,24272,2022-01-23 10:33
South Korea,Daegu,27119,2022-06-23 05:15
South Korea,Daegu,31089,2022-04-07 9:30
Mexico,Puebla,3760,2022-05-18 02:33
Japan,Osaka,8459,2022-06-23 05:15
Germany,Hamburg,2072,2022-06-23 05:15
Germany,Berlin,58968,2022-01-23 10:33
Brazil,Fortaleza,1344,2022-04-07 9:30
China,Tianjin,33385,2022-01-23 10:33
Mexico,Iztapalapa,13514,2022-06-23 05:15
United States,Philadelphia,41200,2022-06-23 05:15
United States,San Jose,65056,2022-06-23 05:15
United States,San Jose,12508,2022-05-18 02:33
Japan,Sapporo,48776,2022-06-23 05:15
South Korea,Seoul,17405,2022-06-23 05:15
United States,Undefined,15521,2022-05-18 02:33
South Korea,Seoul,3713,2022-05-18 02:33
Mexico,Ecatepec de Morelos,37300,2022-04-07 9:30
United States,San Francisco,1911,2022-06-23 05:15
Germany,Hamburg,4968,2022-01-23 10:33
China,Guangzhou,9450,2022-04-07 9:30
India,Kolkata,17920,2022-05-18 02:33
United States,Undefined,52736,2022-05-18 02:33
South Korea,Incheon,14573,2022-06-23 05:15
United States,San Jose,1696,2022-06-23 05:15
France,Toulouse,33390,2022-05-18 02:33
Mexico,Puebla,2107,2022-05-18 02:33
United States,Undefined,48372,2022-06-23 05:15
France,Nantes,3744,2022-04-07 9:30
China,Shanghai,44910,2022-01-23 10:33
Mexico,Puebla,11016,2022-06-23 05:15
South Korea,Daegu,28149,2022-04-07 9:30
Germany,Hamburg,5136,2022-05-18 02:33
South Korea,Incheon,1344,2022-04-07 9:30
Brazil,Belo Horizonte,17064,2022-01-23 10:33
South Korea,Incheon,33306,2022-06-23 05:15
France,Paris,30848,2022-05-18 02:33
United States,Washington,92814,2022-06-23 05:15
Germany,Koeln,31356,2022-01-23 10:33
Mexico,Mexico City,19118,2022-01-23 10:33
Italy,Milan,31682,2022-01-23 10:33
China,Guangzhou,55755,2022-05-18 02:33
Japan,Osaka,5696,2022-06-23 05:15
Brazil,Belo Horizonte,29862,2022-01-23 10:33
Mexico,Mexico City,18774,2022-01-23 10:33
Germany,Berlin,67414,2022-01-23 10:33
Germany,Berlin,4740,2022-01-23 10:33
France,Nantes,93159,2022-06-23 05:15
India,Kolkata,29656,2022-01-23 10:33
India,Mumbai,14534,2022-05-18 02:33
Italy,Naples,9216,2022-06-23 05:15
Mexico,Guadalajara,45100,2022-05-18 02:33
France,Toulouse,450,2022-06-23 05:15
China,Tianjin,81809,2022-01-23 10:33
South Korea,Incheon,5478,2022-06-23 05:15
Italy,Turin,18810,2022-06-23 05:15
United States,San Francisco,32079,2022-04-07 9:30
Germany,Koeln,44955,2022-04-07 9:30
Germany,Berlin,6726,2022-04-07 9:30
France,Nantes,27900,2022-04-07 9:30
United States,Washington,51516,2022-04-07 9:30
Japan,Tokyo,8613,2022-05-18 02:33
France,Nantes,21318,2022-06-23 05:15
